id,name
89,rin bar 150g rs.10
149,parle hide&seek chocolate chip cookies 120g
308,sabena 450g
375,britannia marie gold biscuits rs.22
404,britannia 50-50 maska chaska biscuits rs.10
407,britannia milk bikis biscuits rs.10
591,thangam gingelly oil 500ml
699,idhayam gingelly oil 500ml
724,fortune sunlite ref sunflower oil 1ltr
1590,tata salt 1kg
1630,aashirvaad mp atta 1kg
1695,svs refined groundnut oil 1l
1717,godrej cinthol original soap 100g
1793,hamam neem tulsi & aloe vera soap 100g
1795,surf excel detergent bar 150g
1798,surf excel detergent bar 90g
1804,vim bar rs.10 130g
1955,britannia good day cashew cookies rs.20
1972,haldirams moong dal 40g
2172,naga double roasted rava 500g
2770,vim bar rs.5 75g
3552,kadala parupu
3561,pottukadalai
3568,toor dhal
3642,jeeragam
3757,sugar
3788,channa black big 250gm
3808,channa white big 250gm
3809,channa white big 500gm
3815,pacha pairu full 250gm
3823,pacha pairu yellow 250gm
3824,pacha pairu yellow 500gm
3848,kadala parupu 250gm
3849,kadala parupu 500gm
3850,kadala parupu 1kg
3896,pottukadalai 250gm
3897,pottukadalai 500gm
3917,fried manila 250gm
3921,manila 250gm
3922,manila 500gm
3932,toor dhal 500gm
3933,toor dhal 1kg
3952,ulundu full white 500gm
3953,ulundu full white 1kg
3960,ulundu white broken 100gm
3968,american badam 100g
4095,dry grapes green 50gm
4096,dry grapes green 100gm
4172,sooji 500gm
4292,jeeragam 50gm
4293,jeeragam 100gm
4308,kadugu small 100gm
4313,kadugu big 100gm
4336,malli 1kg
4371,milagai neetu 250gm
4372,milagai neetu 500gm
4401,pepper black 50gm
4402,pepper black 100gm
4420,tamarind old 500gm
4429,vendiyam 100gm
4430,vendiyam 250gm
4730,jaggery rose 500gm
4777,sugar 500gm
4778,sugar 1kg
4779,sugar 2kg
4786,garlic big 500gm
7750,britannia marie gold biscuits rs.10
8202,nestle munch rs.5 10.1g
8319,sunflower roasted short vermicelli 180g
8382,exo safai steel scrubber
8471,diamond salt 1kg
8591,lg asafoetida powder 50g
8592,lg asafoetida compounded 50g
8611,anil roasted short vermicelli 180g
8794,clinic plus strong & long health shampoo rs.1
9658,amudeshwari camphor 50g
9660,amudeshwari camphor 25g
10158,gold winner refined sunflower oil 1l
10491,ponlait milk 500ml (green)
10510,auro star idly maavu 1kg
10560,milagai neetu 100g
10626,aurola refined sunflower oil 1ltr
10860,sombu 50g
10861,sombu 100g
12652,anil kozhakkate flour 500g
14530,britannia marie gold biscuits rs.15
16986,amirtham naatu sugar 500g
18162,samba wheat broken 500gm
18248,richeese nabati cheese wafer rs.10
23290,annachi poov 20gm
23291,bay leaf 20gm
23292,elaichi 20gm
23297,kerambu 20gm
23301,pattai 20gm
26051,britannia milk bikis choco cookies 55g rs.10
