article_id,category_name,subcategory_name,brand_name
89,detergents,washing bars,rin
149,biscuits,cookies,parle
308,utensil cleaners,dishwash powders,sabena
375,biscuits,glucose marie & milk biscuits,britannia
404,biscuits,salty biscuits,britannia
407,biscuits,glucose marie & milk biscuits,britannia
591,edible oils & ghee,gingelly oil,thangam
699,edible oils & ghee,gingelly oil,idhayam
724,edible oils & ghee,sunflower oils,fortune
1590,salt sugar & jaggery,salt,tata salt
1630,flours & sooji,atta,aashirvaad
1695,edible oils & ghee,groundnut oils,svs
1717,personal hygiene,bath soap,godrej
1793,personal hygiene,bath soap,hamam
1795,detergents,washing bars,surf excel
1798,detergents,washing bars,surf excel
1804,utensil cleaners,dishwash bars,vim
1955,biscuits,cookies,britannia
1972,veg snacks,namkeen,haldirams
2172,flours & sooji,sooji & rava,naga
2770,utensil cleaners,dishwash bars,vim
3552,dals & pulses,other dals,bulk
3561,dals & pulses,other dals,bulk
3568,dals & pulses,toor dal,bulk
3642,masalas & spices,whole spices,bulk
3757,salt sugar & jaggery,sugar,bulk
3788,dals & pulses,channa dal,private label
3808,dals & pulses,channa dal,private label
3809,dals & pulses,channa dal,private label
3815,dals & pulses,moong dal,private label
3823,dals & pulses,moong dal,private label
3824,dals & pulses,moong dal,private label
3848,dals & pulses,other dals,private label
3849,dals & pulses,other dals,private label
3850,dals & pulses,other dals,private label
3896,dals & pulses,other dals,private label
3897,dals & pulses,other dals,private label
3917,dals & pulses,other dals,private label
3921,dals & pulses,other dals,private label
3922,dals & pulses,other dals,private label
3932,dals & pulses,toor dal,private label
3933,dals & pulses,toor dal,private label
3952,dals & pulses,urad dal,private label
3953,dals & pulses,urad dal,private label
3960,dals & pulses,urad dal,private label
3968,dry fruits,almonds,private label
4095,dry fruits,raisins,private label
4096,dry fruits,raisins,private label
4172,flours & sooji,sooji & rava,private label
4292,masalas & spices,whole spices,private label
4293,masalas & spices,whole spices,private label
4308,masalas & spices,whole spices,private label
4313,masalas & spices,whole spices,private label
4336,masalas & spices,whole spices,private label
4371,masalas & spices,whole spices,private label
4372,masalas & spices,whole spices,private label
4401,masalas & spices,whole spices,private label
4402,masalas & spices,whole spices,private label
4420,masalas & spices,whole spices,private label
4429,masalas & spices,whole spices,private label
4430,masalas & spices,whole spices,private label
4730,salt sugar & jaggery,jaggery,private label
4777,salt sugar & jaggery,sugar,private label
4778,salt sugar & jaggery,sugar,private label
4779,salt sugar & jaggery,sugar,private label
4786,masalas & spices,whole spices,private label
7750,biscuits,glucose marie & milk biscuits,britannia
8202,chocolates & sweets,chocolate,nestle
8319,pasta & vermicelli,vermicelli,sunflower
8382,utensil cleaners,utensil scrub pads,exo
8471,salt sugar & jaggery,salt,diamond
8591,masalas & spices,powdered spices,lg
8592,masalas & spices,powdered spices,lg
8611,pasta & vermicelli,vermicelli,anil
8794,hair care,shampoo,clinic plus
9658,pooja needs,other pooja needs,amudeshwari
9660,pooja needs,other pooja needs,amudeshwari
10158,edible oils & ghee,sunflower oils,gold winner
10491,dairy products,milk,ponlait
10510,ready to eat & cook,heat & eat ready meals,auro star
10560,masalas & spices,whole spices,private label
10626,edible oils & ghee,sunflower oils,aurola
10860,masalas & spices,whole spices,private label
10861,masalas & spices,whole spices,private label
12652,flours & sooji,other flours,anil
14530,biscuits,glucose marie & milk biscuits,britannia
16986,salt sugar & jaggery,sugar,unbranded
18162,flours & sooji,other flours,private label
18248,biscuits,wafers,richeese
23290,masalas & spices,whole spices,private label
23291,masalas & spices,whole spices,private label
23292,dry fruits,other dry fruits,private label
23297,masalas & spices,whole spices,private label
23301,masalas & spices,whole spices,private label
26051,biscuits,cookies,britannia
